symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AMZN,2025-12-08 22:40:00+00:00,227.01,227.03,227.0,227.03,1833.0,94.0,227.010911
AMZN,2025-12-08 22:45:00+00:00,227.011,227.05,227.0,227.0,7419.0,173.0,227.024148
AMZN,2025-12-08 22:50:00+00:00,227.05,227.1,227.0,227.0,4978.0,214.0,227.054598
AMZN,2025-12-08 22:55:00+00:00,227.05,227.05,226.93,226.9301,7782.0,296.0,226.99234
AMZN,2025-12-08 23:00:00+00:00,226.94,227.1,226.89,227.1,88237.0,156.0,226.900518
AMZN,2025-12-08 23:05:00+00:00,227.0741,227.17,227.0001,227.02,3822.0,152.0,227.034158
AMZN,2025-12-08 23:10:00+00:00,227.06,227.09,227.05,227.05,2651.0,69.0,227.063894
AMZN,2025-12-08 23:15:00+00:00,227.06,227.08,227.01,227.01,2188.0,87.0,227.068387
AMZN,2025-12-08 23:20:00+00:00,227.0002,227.1167,227.0,227.1167,1989.0,77.0,227.008577
AMZN,2025-12-08 23:25:00+00:00,227.0,227.01,226.9,226.9,6423.0,162.0,226.971845
AMZN,2025-12-08 23:30:00+00:00,226.89,227.0,226.88,226.9,40421.0,107.0,226.890968
AMZN,2025-12-08 23:35:00+00:00,227.0,227.1,226.95,227.1,17171.0,103.0,226.999968
AMZN,2025-12-08 23:40:00+00:00,227.0,227.12,227.0,227.01,10231.0,86.0,227.019756
AMZN,2025-12-08 23:45:00+00:00,227.05,227.1,227.0,227.0,10756.0,82.0,227.014039
AMZN,2025-12-08 23:50:00+00:00,227.1,227.13,227.06,227.13,1231.0,71.0,227.097625
AMZN,2025-12-08 23:55:00+00:00,227.1482,227.15,227.0,227.0,5909.0,165.0,227.063206
AMZN,2025-12-09 00:00:00+00:00,227.0,227.0,226.9525,227.0,1560.0,93.0,226.994335
AMZN,2025-12-09 00:05:00+00:00,226.968,227.0,226.968,227.0,2503.0,74.0,226.997524
AMZN,2025-12-09 00:10:00+00:00,226.98,227.0,226.9612,227.0,1774.0,70.0,226.981998
AMZN,2025-12-09 00:15:00+00:00,226.99,227.0,226.98,227.0,1002.0,40.0,226.992994
AMZN,2025-12-09 00:20:00+00:00,227.03,227.03,227.0005,227.0005,1430.0,49.0,227.003182
AMZN,2025-12-09 00:25:00+00:00,226.97,227.11,226.93,227.01,2840.0,142.0,227.012311
AMZN,2025-12-09 00:30:00+00:00,227.06,227.11,227.01,227.01,1483.0,94.0,227.043931
AMZN,2025-12-09 00:35:00+00:00,227.01,227.0942,227.01,227.01,2527.0,95.0,227.057839
AMZN,2025-12-09 00:40:00+00:00,227.0164,227.0486,227.01,227.01,1080.0,67.0,227.032552
AMZN,2025-12-09 00:45:00+00:00,227.03,227.0954,227.01,227.0954,996.0,37.0,227.026971
AMZN,2025-12-09 00:50:00+00:00,227.09,227.09,227.0314,227.0314,1905.0,42.0,227.085213
AMZN,2025-12-09 00:55:00+00:00,227.0881,227.13,227.01,227.1201,6407.0,159.0,227.056157
AMZN,2025-12-09 09:00:00+00:00,227.21,227.21,227.09,227.09,1363.0,79.0,227.121275
AMZN,2025-12-09 09:05:00+00:00,227.01,227.13,227.01,227.13,494.0,22.0,227.094706
AMZN,2025-12-09 09:15:00+00:00,227.08,227.08,226.96,226.96,1592.0,95.0,227.002643
AMZN,2025-12-09 09:20:00+00:00,226.97,226.97,226.91,226.91,775.0,51.0,226.94
AMZN,2025-12-09 09:35:00+00:00,226.92,226.92,226.68,226.75,3617.0,154.0,226.805257
AMZN,2025-12-09 09:40:00+00:00,226.74,226.75,226.74,226.75,494.0,21.0,226.745951
AMZN,2025-12-09 09:45:00+00:00,226.85,226.85,226.85,226.85,502.0,16.0,226.85
AMZN,2025-12-09 09:55:00+00:00,226.82,226.82,226.82,226.82,185.0,8.0,226.82
AMZN,2025-12-09 10:00:00+00:00,226.95,226.98,226.95,226.98,362.0,11.0,226.965
AMZN,2025-12-09 10:20:00+00:00,226.94,226.94,226.94,226.94,200.0,4.0,226.94
AMZN,2025-12-09 10:25:00+00:00,227.05,227.15,227.05,227.15,1034.0,27.0,227.073609
AMZN,2025-12-09 10:35:00+00:00,227.07,227.07,226.54,226.57,6151.0,226.0,226.788061
AMZN,2025-12-09 10:40:00+00:00,226.55,226.95,226.53,226.95,2757.0,87.0,226.71046
AMZN,2025-12-09 10:45:00+00:00,226.97,227.0,226.79,226.79,1301.0,43.0,226.926144
AMZN,2025-12-09 11:00:00+00:00,227.07,227.07,227.04,227.04,248.0,7.0,227.055
AMZN,2025-12-09 11:05:00+00:00,227.18,227.2,227.13,227.13,1192.0,38.0,227.172269
AMZN,2025-12-09 11:10:00+00:00,227.16,227.16,227.13,227.13,911.0,41.0,227.142967
AMZN,2025-12-09 11:15:00+00:00,227.06,227.09,227.01,227.09,4537.0,136.0,227.060482
